Genre,Drama,Other,Family,Fiction,Action_Adventure,Horror
0,love,film,return,creature,attack,child
1,son,New,man,Earth,army,zombie
2,village,life,reveal,ship,police,vampire
3,house,people,home,alien,plan,tell
4,try,follow,discover,film,lead,island
5,prison,war,castle,crew,son,family
6,year,footage,away,kill,force,man
7,friend,character,escape,planet,death,priest
8,daughter,include,order,end,battle,later
9,machine,year,tell,space,help,meet
10,live,travel,money,escape,send,try
11,follow,experience,child,force,king,attempt
12,day,group,attempt,year,officer,native
13,family,course,new,home,reveal,brother
14,story,War,son,attack,meet,soldier
15,later,appear,time,discover,English,die
16,die,world,meet,power,year,father
17,visit,story,later,come,believe,wife
18,trick,find,Lord,later,come,Sarah
19,film,journey,lose,die,murder,escape
20,bring,come,realize,begin,city,bring
21,reveal,star,friend,appear,war,burn
22,time,music,life,large,later,refuse
23,sentence,family,arrive,remain,capture,away
24,arrest,city,help,world,love,arrive
25,lose,India,house,set,charge,son
26,movie,voice,day,use,wife,shoot
27,refuse,daily,bring,scientist,father,know
28,young,use,ask,life,film,discover
29,death,work,fight,away,die,encounter
